question,ticker_hint,expected_substring
"What is Microsoft's flagship AI assistant product brand?","MSFT","Copilot"
"Which Microsoft cloud platform hosts AI services?","MSFT","Azure"
"What is Microsoft's AI development platform for foundation models?","MSFT","Foundry"
"Which Microsoft tool delivers AI-assisted code completion?","MSFT","IntelliCode"
"What is Google's primary foundation-model family?","GOOGL","Gemini"
"Which accelerator chip does Google use to train its large models?","GOOGL","TPU"
"What is Google's AI research subsidiary?","GOOGL","DeepMind"
"What multimodal agentic AI initiative is mentioned by Google?","GOOGL","Astra"
"What is IBM's enterprise AI platform branded as?","IBM","watsonx"
"Which open foundation-model family does IBM publish?","IBM","Granite"
"What is IBM's data security and governance product family?","IBM","Guardium"
"What advanced computing area does IBM emphasise alongside AI?","IBM","Quantum"
"Which NVIDIA software stack underpins AI development?","NVDA","CUDA"
"What NVIDIA upscaling technology accelerates real-time rendering?","NVDA","DLSS"
"Which NVIDIA microservice framework deploys foundation models?","NVDA","NIM"
"What is the NVIDIA in-game assistance initiative codenamed?","NVDA","Flamingo"
"Which AWS service hosts managed foundation models?","AMZN","Bedrock"
"What is Amazon's internal large foundation-model project codenamed?","AMZN","Olympus"
"Which Amazon ML platform supports model training and deployment?","AMZN","SageMaker"
"Which Amazon custom accelerator targets model training?","AMZN","Trainium"